"Codice Ateco 2007",Descrizione,Aggiornamento
31.03.0,Fabbricazione di materassi,
31.03.00,Fabbricazione di materassi,
31.09,Fabbricazione di altri mobili,
31.09.1,Fabbricazione di mobili per arredo domestico,
31.09.10,Fabbricazione di mobili per arredo domestico,
31.09.2,"Fabbricazione di sedie e sedili (esclusi quelli per aeromobili, autoveicoli, navi, treni, ufficio e negozi)",
31.09.20,"Fabbricazione di sedie e sedili (esclusi quelli per aeromobili, autoveicoli, navi, treni, ufficio e negozi)",
31.09.3,Fabbricazione di poltrone e divani,
31.09.30,Fabbricazione di poltrone e divani,
31.09.4,Fabbricazione di parti e accessori di mobili,
31.09.40,Fabbricazione di parti e accessori di mobili,
31.09.5,Finitura di mobili,
31.09.50,Finitura di mobili,
31.09.9,Fabbricazione di altri mobili (inclusi quelli per arredo esterno),
31.09.90,Fabbricazione di altri mobili (inclusi quelli per arredo esterno),
32,ALTRE INDUSTRIE MANIFATTURIERE,
32.1,"FABBRICAZIONE DI GIOIELLERIA, BIGIOTTERIA E ARTICOLI CONNESSI; LAVORAZIONE DELLE PIETRE PREZIOSE",
32.11,Coniazione di monete,
32.11.0,Coniazione di monete,
32.11.00,Coniazione di monete,
32.12,Fabbricazione di oggetti di gioielleria e oreficeria e articoli connessi,
32.12.1,Fabbricazione di oggetti di gioielleria ed oreficeria in metalli preziosi o rivestiti di metalli preziosi,
32.12.10,Fabbricazione di oggetti di gioielleria ed oreficeria in metalli preziosi o rivestiti di metalli preziosi,
32.12.2,Lavorazione di pietre preziose e semipreziose per gioielleria e per uso industriale,
32.12.20,Lavorazione di pietre preziose e semipreziose per gioielleria e per uso industriale,
32.13,Fabbricazione di bigiotteria e articoli simili,
32.13.0,Fabbricazione di bigiotteria e articoli simili,
32.13.01,Fabbricazione di cinturini metallici per orologi (esclusi quelli in metalli preziosi),
32.13.09,Fabbricazione di bigiotteria e articoli simili nca,
32.2,FABBRICAZIONE DI STRUMENTI MUSICALI,
32.20,Fabbricazione di strumenti musicali,
32.20.0,Fabbricazione di strumenti musicali (incluse parti e accessori),
32.20.00,Fabbricazione di strumenti musicali (incluse parti e accessori),
32.3,FABBRICAZIONE DI ARTICOLI SPORTIVI,
32.30,Fabbricazione di articoli sportivi,
32.30.0,Fabbricazione di articoli sportivi,
32.30.00,Fabbricazione di articoli sportivi,
32.4,FABBRICAZIONE DI GIOCHI E GIOCATTOLI,
32.40,Fabbricazione di giochi e giocattoli,
32.40.1,Fabbricazione di giochi (inclusi i giochi elettronici),
32.40.10,Fabbricazione di giochi (inclusi i giochi elettronici),
32.40.2,Fabbricazione di giocattoli (inclusi i tricicli e gli strumenti musicali giocattolo),
32.40.20,Fabbricazione di giocattoli (inclusi i tricicli e gli strumenti musicali giocattolo),
32.5,FABBRICAZIONE DI STRUMENTI E FORNITURE MEDICHE E DENTISTICHE,
32.50,Fabbricazione di strumenti e forniture mediche e dentistiche,
32.50.1,"Fabbricazione di mobili per uso medico, apparecchi medicali, di materiale medico-chirurgico e veterinario, di apparecchi e strumenti per odontoiatria (incluse parti staccate e accessori)",
32.50.11,Fabbricazione di materiale medico-chirurgico e veterinario,
32.50.12,Fabbricazione di apparecchi e strumenti per odontoiatria e di apparecchi medicali (incluse parti staccate e accessori),
32.50.13,"Fabbricazione di mobili per uso medico, chirurgico, odontoiatrico e veterinario",
32.50.14,Fabbricazione di centrifughe per laboratori,
32.50.2,Fabbricazione di protesi dentarie (inclusa riparazione),
32.50.20,Fabbricazione di protesi dentarie (inclusa riparazione),
32.50.3,"Fabbricazione di protesi ortopediche, altre protesi ed ausili (inclusa riparazione)",
32.50.30,"Fabbricazione di protesi ortopediche, altre protesi ed ausili (inclusa riparazione)",
32.50.4,Fabbricazione di lenti oftalmiche,
32.50.40,Fabbricazione di lenti oftalmiche,
32.50.5,Fabbricazione di armature per occhiali di qualsiasi tipo; montatura in serie di occhiali comuni,
32.50.50,Fabbricazione di armature per occhiali di qualsiasi tipo; montatura in serie di occhiali comuni,
32.9,INDUSTRIE MANIFATTURIERE NCA,
32.91,Fabbricazione di scope e spazzole,
32.91.0,Fabbricazione di scope e spazzole,
32.91.00,Fabbricazione di scope e spazzole,
32.99,Altre industrie manifatturiere nca,
32.99.1,Fabbricazione di attrezzature ed articoli di vestiario protettivi di sicurezza,
32.99.11,Fabbricazione di articoli di vestiario ignifughi e protettivi di sicurezza,
32.99.12,Fabbricazione di articoli in plastica per la sicurezza personale,
32.99.13,Fabbricazione di articoli in metallo per la sicurezza personale,
32.99.14,Fabbricazione di maschere antigas,
32.99.19,Fabbricazione di altre attrezzature ed altri articoli protettivi di sicurezza,
32.99.2,"Fabbricazione di ombrelli, bottoni, chiusure lampo, parrucche e affini",
32.99.20,"Fabbricazione di ombrelli, bottoni, chiusure lampo, parrucche e affini",
32.99.3,Fabbricazione di oggetti di cancelleria,
32.99.30,Fabbricazione di oggetti di cancelleria,
32.99.4,Fabbricazione di casse funebri,
32.99.40,Fabbricazione di casse funebri,
32.99.9,Fabbricazione di altri articoli nca,
32.99.90,Fabbricazione di altri articoli nca,
33,"RIPARAZIONE, MANUTENZIONE ED INSTALLAZIONE DI MACCHINE ED APPARECCHIATURE",
33.1,"RIPARAZIONE E MANUTENZIONE DI PRODOTTI IN METALLO, MACCHINE ED APPARECCHIATURE",
33.11,Riparazione e manutenzione di prodotti in metallo,
33.11.0,Riparazione e manutenzione di prodotti in metallo,
33.11.01,"Riparazione e manutenzione di stampi, portastampi, sagome, forme per macchine",
33.11.02,Riparazione e manutenzione di utensileria ad azionamento manuale,
33.11.03,"Riparazione e manutenzione di armi, sistemi d'arma e munizioni",
33.11.04,"Riparazione e manutenzione di casseforti, forzieri, porte metalliche blindate",
33.11.05,Riparazione e manutenzione di armi bianche,
33.11.06,Riparazione e manutenzione di container,
33.11.07,Riparazione e manutenzione di carrelli per la spesa,
33.11.09,Riparazione e manutenzione di altri prodotti in metallo,
33.12,Riparazione e manutenzione di macchinari,
33.12.1,Riparazione e manutenzione di macchine di impiego generale,
33.12.10,Riparazione e manutenzione di macchine di impiego generale,
33.12.2,"Riparazione e manutenzione di forni, fornaci e bruciatori",
33.12.20,"Riparazione e manutenzione di forni, fornaci e bruciatori",
33.12.3,Riparazione e manutenzione di macchine e apparecchi di sollevamento e movimentazione (esclusi ascensori),
33.12.30,Riparazione e manutenzione di macchine e apparecchi di sollevamento e movimentazione (esclusi ascensori),
33.12.4,Riparazione e manutenzione di attrezzature di uso non domestico per la refrigerazione e la ventilazione,
33.12.40,Riparazione e manutenzione di attrezzature di uso non domestico per la refrigerazione e la ventilazione,
33.12.5,Riparazione e manutenzione di altre macchine di impiego generale,
33.12.51,"Riparazione e manutenzione di macchine ed attrezzature per ufficio (esclusi computer, periferiche, fax)",
33.12.52,Riparazione e manutenzione di bilance e macchine automatiche per la vendita e la distribuzione,
33.12.53,"Riparazione e manutenzione di macchine per le industrie chimiche, petrolchimiche e petrolifere",
33.12.54,"Riparazione e manutenzione di macchine per la dosatura, la confezione e l'imballaggio",
33.12.55,Riparazione e manutenzione di estintori (inclusa la ricarica),
33.12.59,Riparazione e manutenzione di altre macchine di impiego generale nca,
33.12.6,Riparazione e manutenzione di trattori agricoli,
33.12.60,Riparazione e manutenzione di trattori agricoli,
33.12.7,"Riparazione e manutenzione di altre macchine per l'agricoltura, la silvicoltura e la zootecnia",
33.12.70,"Riparazione e manutenzione di altre macchine per l'agricoltura, la silvicoltura e la zootecnia",
33.12.9,Riparazione e manutenzione di altre macchine per impieghi speciali (incluse le macchine utensili),
33.12.91,Riparazione e manutenzione di parti intercambiabili per macchine utensili,
33.12.92,"Riparazione e manutenzione di giostre, altalene, padiglioni da tiro al bersaglio ed altre attrezzature per parchi di divertimento",Codice inserito a partire dal 1 gennaio 2009
33.12.99,Riparazione e manutenzione di altre macchine per impieghi speciali nca (incluse le macchine utensili),
33.13,Riparazione e manutenzione di apparecchiature elettroniche ed ottiche,
33.13.0,Riparazione e manutenzione di apparecchiature elettroniche ed ottiche (escluse quelle per le telecomunicazioni ed i computer),
33.13.01,"Riparazione e manutenzione di apparecchiature ottiche, fotografiche e cinematografiche (escluse videocamere)",
33.13.02,,Codice eliminato a partire dal 1 gennaio 2009
33.13.03,"Riparazione e manutenzione di apparecchi elettromedicali, di materiale medico-chirurgico e veterinario, di apparecchi e strumenti per odontoiatria",
33.13.04,"Riparazione e manutenzione di apparati di distillazione per laboratori, di centrifughe per laboratori e di macchinari per pulizia ad ultrasuoni per laboratori",
33.13.09,Riparazione e manutenzione di altre apparecchiature elettroniche (escluse quelle per le telecomunicazioni ed i computer),
33.14,Riparazione e manutenzione di apparecchiature elettriche,
33.14.0,Riparazione e manutenzione di apparecchiature elettriche (esclusi gli elettrodomestici),
33.14.00,Riparazione e manutenzione di apparecchiature elettriche (esclusi gli elettrodomestici),Codice inserito a partire dal 1 gennaio 2009
33.14.01,,Codice eliminato a partire dal 1 gennaio 2009
33.14.09,,Codice eliminato a partire dal 1 gennaio 2009
33.15,Riparazione e manutenzione di navi e imbarcazioni (esclusi i loro motori),
33.15.0,Riparazione e manutenzione di navi commerciali e imbarcazioni da diporto (esclusi i loro motori),
33.15.00,Riparazione e manutenzione di navi commerciali e imbarcazioni da diporto (esclusi i loro motori),
33.16,Riparazione e manutenzione di aeromobili e di veicoli spaziali,
33.16.0,Riparazione e manutenzione di aeromobili e di veicoli spaziali,
33.16.00,Riparazione e manutenzione di aeromobili e di veicoli spaziali,
33.17,Riparazione e manutenzione di locomotive e di materiale rotabile ferro-tranviario (esclusi i loro motori),
33.17.0,"Riparazione e manutenzione di materiale rotabile ferroviario, tranviario, filoviario e per metropolitane (esclusi i loro motori)",
33.17.00,"Riparazione e manutenzione di materiale rotabile ferroviario, tranviario, filoviario e per metropolitane (esclusi i loro motori)",
33.19,Riparazione di altre apparecchiature,
33.19.0,Riparazione di altre apparecchiature,
33.19.01,Riparazioni di pallets e contenitori in legno per trasporto,
33.19.02,Riparazione di prodotti in gomma,
33.19.03,Riparazione di articoli in vetro,
33.19.04,Riparazioni di altri prodotti in legno nca,
33.19.09,Riparazione di altre apparecchiature nca,
33.2,INSTALLAZIONE DI MACCHINE ED APPARECCHIATURE INDUSTRIALI,
33.20,Installazione di macchine ed apparecchiature industriali,
33.20.0,Installazione di macchine ed apparecchiature industriali,
33.20.01,"Installazione di motori, generatori e trasformatori elettrici; di apparecchiature per la distribuzione e il controllo dell'elettricità (esclusa l'installazione all'interno degli edifici)",
33.20.02,"Installazione di apparecchi elettrici ed elettronici per telecomunicazioni, di apparecchi trasmittenti radiotelevisivi, di impianti di apparecchiature elettriche ed elettroniche (esclusa l'installazione all'interno degli edifici)",
33.20.03,"Installazione di strumenti ed apparecchi di misurazione, controllo, prova, navigazione e simili (incluse le apparecchiature di controllo dei processi industriali)",
33.20.04,"Installazione di cisterne, serbatoi e contenitori in metallo",
33.20.05,Installazione di generatori di vapore (escluse le caldaie per il riscaldamento centrale ad acqua calda),
33.20.06,"Installazione di macchine per ufficio, di mainframe e computer simili",
33.20.07,"Installazione di apparecchi medicali, di apparecchi e strumenti per odontoiatria",
33.20.08,Installazione di apparecchi elettromedicali,
33.20.09,Installazione di altre macchine ed apparecchiature industriali,
D,"FORNITURA DI ENERGIA ELETTRICA, GAS, VAPORE E ARIA CONDIZIONATA",
35,"FORNITURA DI ENERGIA ELETTRICA, GAS, VAPORE E ARIA CONDIZIONATA",
35.1,"PRODUZIONE, TRASMISSIONE E DISTRIBUZIONE DI ENERGIA ELETTRICA",
35.11,Produzione di energia elettrica,
35.11.0,Produzione di energia elettrica,
35.11.00,Produzione di energia elettrica,
35.12,Trasmissione di energia elettrica,
35.12.0,Trasmissione di energia elettrica,
35.12.00,Trasmissione di energia elettrica,
35.13,Distribuzione di energia elettrica,
35.13.0,Distribuzione di energia elettrica,
35.13.00,Distribuzione di energia elettrica,
35.14,Commercio di energia elettrica,
35.14.0,Commercio di energia elettrica,
35.14.00,Commercio di energia elettrica,
35.2,PRODUZIONE DI GAS; DISTRIBUZIONE DI COMBUSTIBILI GASSOSI MEDIANTE CONDOTTE,
35.21,Produzione di gas,
35.21.0,Produzione di gas,
35.21.00,Produzione di gas,
35.22,Distribuzione di combustibili gassosi mediante condotte,
35.22.0,Distribuzione di combustibili gassosi mediante condotte,
35.22.00,Distribuzione di combustibili gassosi mediante condotte,
35.23,Commercio di gas distribuito mediante condotte,
35.23.0,Commercio di gas distribuito mediante condotte,
35.23.00,Commercio di gas distribuito mediante condotte,
35.3,FORNITURA DI VAPORE E ARIA CONDIZIONATA,
35.30,Fornitura di vapore e aria condizionata,
35.30.0,Fornitura di vapore e aria condizionata,
35.30.00,Fornitura di vapore e aria condizionata,
E,"FORNITURA DI ACQUA; RETI FOGNARIE, ATTIVITÀ DI GESTIONE DEI RIFIUTI E RISANAMENTO",
36,"RACCOLTA, TRATTAMENTO E FORNITURA DI ACQUA",
36.0,"RACCOLTA, TRATTAMENTO E FORNITURA DI ACQUA",
36.00,"Raccolta, trattamento e fornitura di acqua",
36.00.0,"Raccolta, trattamento e fornitura di acqua",
36.00.00,"Raccolta, trattamento e fornitura di acqua",
37,GESTIONE DELLE RETI FOGNARIE,
37.0,GESTIONE DELLE RETI FOGNARIE,
37.00,Gestione delle reti fognarie,
37.00.0,Raccolta e depurazione delle acque di scarico,
37.00.00,Raccolta e depurazione delle acque di scarico,
38,"ATTIVITÀ DI RACCOLTA, TRATTAMENTO E SMALTIMENTO DEI RIFIUTI; RECUPERO DEI MATERIALI",
38.1,RACCOLTA DEI RIFIUTI,
38.11,Raccolta di rifiuti non pericolosi,
38.11.0,Raccolta di rifiuti solidi non pericolosi,
38.11.00,Raccolta di rifiuti solidi non pericolosi,
38.12,Raccolta di rifiuti pericolosi,
38.12.0,Raccolta di rifiuti pericolosi solidi e non solidi,
38.12.00,Raccolta di rifiuti pericolosi solidi e non solidi,
38.2,TRATTAMENTO E SMALTIMENTO DEI RIFIUTI,
38.21,Trattamento e smaltimento di rifiuti non pericolosi,
38.21.0,Trattamento e smaltimento di rifiuti non pericolosi; produzione di compost,
38.21.01,Produzione di compost,
38.21.09,Trattamento e smaltimento di altri rifiuti non pericolosi,
38.22,Trattamento e smaltimento di rifiuti pericolosi,
38.22.0,Trattamento e smaltimento di rifiuti pericolosi,
38.22.00,Trattamento e smaltimento di rifiuti pericolosi,
38.3,RECUPERO DEI MATERIALI,
38.31,Demolizione di carcasse e cantieri di demolizione navali,
38.31.1,Demolizione di carcasse,
38.31.10,Demolizione di carcasse,
38.31.2,Cantieri di demolizione navali,
38.31.20,Cantieri di demolizione navali,
38.32,Recupero e cernita di materiali,
38.32.1,Recupero e preparazione per il riciclaggio di cascami e rottami metallici,
38.32.10,Recupero e preparazione per il riciclaggio di cascami e rottami metallici,
38.32.2,"Recupero e preparazione per il riciclaggio di materiale plastico per produzione di materie prime plastiche, resine sintetiche",
38.32.20,"Recupero e preparazione per il riciclaggio di materiale plastico per produzione di materie prime plastiche, resine sintetiche",
38.32.3,"Recupero e preparazione per il riciclaggio dei rifiuti solidi urbani, industriali e biomasse",
38.32.30,"Recupero e preparazione per il riciclaggio dei rifiuti solidi urbani, industriali e biomasse",
39,ATTIVITÀ DI RISANAMENTO E ALTRI SERVIZI DI GESTIONE DEI RIFIUTI,
39.0,ATTIVITÀ DI RISANAMENTO E ALTRI SERVIZI DI GESTIONE DEI RIFIUTI,
39.00,Attività di risanamento e altri servizi di gestione dei rifiuti,
39.00.0,Attività di risanamento e altri servizi di gestione dei rifiuti,
39.00.01,Attività di rimozione di strutture ed elementi in amianto specializzata per l'edilizia,
39.00.09,Altre attività di risanamento e altri servizi di gestione dei rifiuti,
